Timesteps,Average Return,Standard Error
742000,-824.8122941657483,6.456742748915191
744000,-825.1316499590561,6.467825132290585
746000,-821.7552382942861,6.804131242376501
748000,-824.9659838027834,6.810422881629121
750000,-823.5685320963139,6.845266319411368
752000,-823.770243981478,6.829047465797449
754000,-825.442542860615,6.808967736575935
756000,-823.4531529485555,6.72435876345467
758000,-822.9019158415019,6.857624419826986
760000,-825.0407244064836,6.774917995017155
762000,-823.6669263127067,6.758060334065769
764000,-822.9765366655007,6.7804175990606925
766000,-821.8481703834198,6.893138840277264
768000,-822.2156057541381,6.890993263053599
770000,-823.7770755435662,6.9579309904548765
772000,-822.0487753521862,7.101293307812315
774000,-821.5063387731174,7.093523501429898
776000,-819.7137193202997,7.029951836775998
778000,-818.714078593192,6.889532346184074
780000,-818.8018346142329,6.867876053074829
782000,-818.6888368898312,6.870010771751518
784000,-817.730006263157,6.996741270521396
786000,-817.2699653733212,7.038227992752269
788000,-818.5381601507178,7.293435526965817
790000,-818.2170623106038,7.400020954982783
792000,-817.9449222207827,7.359892851763412
794000,-818.0853129751897,7.349171706713193
796000,-818.4732006682639,7.3841966814508
798000,-817.4045663279084,7.414527829253272
800000,-813.9133204110786,7.4284436451253
802000,-813.5516835974846,7.343100352081547
804000,-811.8114965277497,7.267167246395007
806000,-815.0561842582557,7.342801751922101
808000,-817.2393715283596,7.50239644470423
810000,-817.2524756214042,7.503201369943632
812000,-817.1776844341889,7.49568469991992
814000,-820.4019563573045,7.2349838208403385
816000,-819.7875632498123,7.209571905542036
818000,-819.9860250098474,7.217782442551356
820000,-820.4224589310513,7.23573005777733
822000,-820.1539659105296,7.105149901884071
824000,-821.685682399456,7.098446696298093
826000,-821.8123216860176,7.114332563085891
828000,-820.7718918688914,7.06594718194452
830000,-820.6531241418984,7.086594430980587
832000,-819.831875857065,7.125797956997611
834000,-818.5228666113804,7.162295681653793
836000,-818.371425523546,7.1310928420144775
838000,-818.3533641038299,7.114604477363786
840000,-819.6408192071783,7.067936200104138
842000,-822.1493203500904,7.2548831692076945
844000,-820.596462620903,7.260267536774035
846000,-822.858607536187,6.906279111254593
848000,-822.5228761432177,6.7750737901441465
850000,-824.6067700184893,6.7810988927154
852000,-824.7041270910893,6.779491735379605
854000,-822.5747541219388,6.925555402580204
856000,-823.0360951269884,6.894644147430711
858000,-824.9184871514427,6.8293318186526815
860000,-824.6942670849846,6.821955387087138
862000,-826.1746787605562,6.81317257807783
864000,-828.159361502392,6.75020680945884
866000,-828.6839233007194,6.620130676869209
868000,-827.5698835338704,6.722139240475572
870000,-826.3609240360487,6.733428903021301
872000,-828.1774833833755,6.4769171979242515
874000,-829.2650301186795,6.49425944011935
876000,-829.3952890630417,6.479810852120802
878000,-830.7946776955763,6.636355244774935
880000,-831.353826010791,6.604766435743682
882000,-830.8722465478636,6.601845341672704
884000,-833.5128966626886,6.66473046249241
886000,-834.6398679878581,6.642619900162167
888000,-835.5000530178579,6.578114865115803
890000,-835.0103671063476,6.446890333765273
892000,-835.6075930306629,6.445094041265181
894000,-836.1667625402105,6.523371436662091
896000,-836.6407216110092,6.398668652895403
898000,-838.2159751286691,6.303740695546744
900000,-839.5930330975865,6.174264722203343
902000,-839.4097710529593,6.208545476099572
904000,-840.0673716052808,6.179071578635314
906000,-838.6368246634662,6.101843021512108
908000,-837.8796464402149,6.052460950773591
910000,-837.7538249382537,6.0743131611712275
912000,-834.9850604323192,6.373775703575204
914000,-835.0225922016771,6.400583910201092
916000,-834.9386756293638,6.526700722863572
918000,-835.1042341002403,6.527980976606273
920000,-834.5722248012654,6.5226505004547635
922000,-833.7523963800725,6.486520614876554
924000,-833.2393766317048,6.4782473080914
926000,-833.1192420455786,6.449974484458903
928000,-832.7054195572035,6.3331973896405875
930000,-832.3235972050472,6.3092881949668564
932000,-833.6546555133723,6.25480029177629
934000,-835.5783570721251,6.1717751891012265
936000,-834.4703817911868,6.1781402347046726
938000,-832.5838742197941,6.367541465853181
940000,-833.3247799277021,6.408694053721925
942000,-830.8987085163271,6.315019896266255
944000,-831.4219462653472,6.286894309234157
946000,-831.3662544475668,6.267521926655675
948000,-830.1512333239318,6.254372367049454
950000,-828.8814841299223,6.219856306158893
952000,-829.5991025599753,6.212995139296189
954000,-831.9709421176135,6.024220400783891
956000,-831.8960187159657,6.02613475429487
958000,-830.8713703614325,5.998246404819456
960000,-829.7489720772243,6.020514278808624
962000,-829.0103560135497,6.144745140080916
964000,-826.4797817189243,6.282431775233265
966000,-825.4155667227893,6.369704237490573
968000,-826.4620844022066,6.239426273626883
970000,-827.727035061364,6.1707392136957875
972000,-831.1031189874441,6.356516452589371
974000,-830.5988955927165,6.277208968707399
976000,-829.9549522422069,6.330189717417701
978000,-828.8243161352492,6.18822135886302
980000,-828.1110426399434,6.234539772754713
982000,-828.0557126511941,6.258202842509642
984000,-826.4294795108909,5.978086905383083
986000,-826.7020147180352,5.945859018198889
988000,-824.7405192869008,5.8331793512027295
990000,-825.7901704031996,5.962949958387547
992000,-824.3178580941012,6.122195340367126
994000,-823.5948493180481,6.023582283605473
996000,-822.4570184911264,6.003012324764833
998000,-822.9548428741535,6.266347109610211
1000000,-823.643404806007,6.202608941800305
