Steps,Average Return,Standard Error
900000,289.52,26.51
901000,276.21,26.82
902000,279.54,27.36
903000,283.5,27.56
904000,268.66,27.08
905000,284.64,27.79
906000,289.9,27.12
907000,288.4,26.22
908000,274.41,26.41
909000,276.39,26.73
910000,259.4,25.54
911000,254.8,26.7
912000,262.39,26.81
913000,279.61,28.95
914000,274.21,29.79
915000,278.04,29.93
916000,272.58,29.4
917000,287.49,29.88
918000,292.35,29.17
919000,312.62,33.44
920000,339.24,35.61
921000,354.94,36.79
922000,374.57,37.31
923000,366.16,37.04
924000,318.91,36.54
925000,303.2,36.29
926000,287.29,35.69
927000,292.88,36.21
928000,320.31,39.96
929000,314.11,39.32
930000,337.32,40.42
931000,359.07,40.45
932000,376.94,41.6
933000,388.81,41.92
934000,402.0,44.76
935000,407.9,44.84
936000,426.66,44.89
937000,440.64,45.8
938000,352.09,41.2
939000,359.74,43.66
940000,377.04,44.72
941000,386.73,44.85
942000,399.29,44.99
943000,403.77,44.88
944000,414.15,44.85
945000,414.44,44.82
946000,422.92,44.98
947000,433.28,45.1
948000,433.42,44.93
949000,368.44,41.62
950000,332.33,40.82
951000,262.11,34.43
952000,202.29,31.21
953000,197.55,31.03
954000,153.14,21.44
955000,155.87,21.89
956000,166.63,26.53
957000,165.25,27.41
958000,119.76,23.85
959000,140.6,26.64
960000,151.94,30.02
961000,150.9,30.15
962000,160.75,30.77
963000,182.21,32.06
964000,202.71,32.89
965000,223.52,33.44
966000,244.6,34.16
967000,262.87,35.86
968000,275.97,36.78
969000,293.85,37.89
970000,279.83,35.57
971000,295.07,36.72
972000,310.23,36.42
973000,323.51,36.4
974000,321.69,37.33
975000,333.76,38.66
976000,335.0,37.45
977000,334.6,37.42
978000,343.77,37.53
979000,347.59,37.3
980000,334.61,37.06
981000,339.28,40.75
982000,334.64,40.69
983000,340.86,40.54
984000,341.24,39.43
985000,357.29,42.14
986000,333.3,40.7
987000,328.78,40.25
988000,294.92,38.22
989000,284.31,37.84
990000,239.52,33.24
991000,222.11,32.97
992000,204.86,32.06
993000,159.1,24.77
994000,120.52,21.61
995000,82.6,10.65
996000,66.9,7.75
997000,53.98,6.15
998000,55.32,5.72
999000,50.58,5.11
1000000,47.58,4.7
